YYYY/MM/DD,Wdy,USD/EUR
1/6/2016,Wed,1.0761
1/7/2016,Thu,1.086
1/8/2016,Fri,1.0885
1/11/2016,Mon,1.0877
1/12/2016,Tue,1.0835
1/13/2016,Wed,1.0862
1/14/2016,Thu,1.0862
1/15/2016,Fri,1.0964
1/18/2016,Mon,1.0885
1/19/2016,Tue,1.0905
1/20/2016,Wed,1.0907
1/21/2016,Thu,1.0833
1/22/2016,Fri,1.0813
1/25/2016,Mon,1.0831
1/26/2016,Tue,1.0845
1/27/2016,Wed,1.0867
1/28/2016,Thu,1.0953
1/29/2016,Fri,1.0832
2/1/2016,Mon,1.0888
2/2/2016,Tue,1.0908
2/3/2016,Wed,1.1053
2/4/2016,Thu,1.1198
2/5/2016,Fri,1.113
2/8/2016,Mon,1.1169
2/9/2016,Tue,1.1317
2/10/2016,Wed,1.1223
2/11/2016,Thu,1.1362
2/12/2016,Fri,1.1234
2/16/2016,Tue,1.1139
2/17/2016,Wed,1.114
2/18/2016,Thu,1.1092
2/19/2016,Fri,1.1126
2/22/2016,Mon,1.1017
2/23/2016,Tue,1.1015
2/24/2016,Wed,1.1021
2/25/2016,Thu,1.1026
2/26/2016,Fri,1.0931
2/29/2016,Mon,1.0867
3/1/2016,Tue,1.0847
3/2/2016,Wed,1.0844
3/3/2016,Thu,1.0947
3/4/2016,Fri,1.1009
3/7/2016,Mon,1.1004
3/8/2016,Tue,1.1026
3/9/2016,Wed,1.1021
3/10/2016,Thu,1.1158
3/11/2016,Fri,1.1178
3/14/2016,Mon,1.1106
3/15/2016,Tue,1.1112
3/16/2016,Wed,1.1075
3/17/2016,Thu,1.1316
3/18/2016,Fri,1.1292
3/21/2016,Mon,1.126
3/22/2016,Tue,1.1227
3/23/2016,Wed,1.1175
3/24/2016,Thu,1.1163
3/28/2016,Mon,1.1208
3/29/2016,Tue,1.1203
3/30/2016,Wed,1.133
3/31/2016,Thu,1.1391
4/1/2016,Fri,1.1385
4/4/2016,Mon,1.1386
4/5/2016,Tue,1.1379
4/6/2016,Wed,1.1428
4/7/2016,Thu,1.1386
4/8/2016,Fri,1.1405
4/11/2016,Mon,1.141
4/12/2016,Tue,1.1395
4/13/2016,Wed,1.128
4/14/2016,Thu,1.1263
4/15/2016,Fri,1.1293
4/18/2016,Mon,1.1322
4/19/2016,Tue,1.1376
4/20/2016,Wed,1.1328
4/21/2016,Thu,1.13
4/22/2016,Fri,1.1239
4/25/2016,Mon,1.1273
4/26/2016,Tue,1.1318
4/27/2016,Wed,1.1322
4/28/2016,Thu,1.1324
4/29/2016,Fri,1.144
5/2/2016,Mon,1.1516
5/3/2016,Tue,1.1506
5/4/2016,Wed,1.1486
5/5/2016,Thu,1.1403
5/6/2016,Fri,1.142
5/9/2016,Mon,1.1402
5/10/2016,Tue,1.1385
5/11/2016,Wed,1.1444
5/12/2016,Thu,1.138
